,DistCode,District,Subdivision,PersonName,Gender,Age,WorkerType,RegisteredYesNo,Registered2017,Registered2016
59,AD,Alipurduar,Alipurduar,PvHep,Male,51,Construction,No,No,No
60,AD,Alipurduar,Alipurduar,LORK,Male,39,Other,No,No,No
61,AD,Alipurduar,Alipurduar,GxPxx,Male,29,Construction,Yes,No,No
62,AD,Alipurduar,Alipurduar,ePwAH,Male,26,Other,Yes,Yes,Yes
63,AD,Alipurduar,Alipurduar,KWiEA,Male,43,Other,No,No,No
64,AD,Alipurduar,Alipurduar,DhybCI,Male,27,Other,No,No,No
65,AD,Alipurduar,Alipurduar,SbObsp,Female,31,Other,Yes,Yes,Yes
66,AD,Alipurduar,Alipurduar,JGqc,Male,61,Other,Yes,Yes,No
67,AD,Alipurduar,Alipurduar,uSiaFv,Female,42,Other,Yes,Yes,Yes
68,AD,Alipurduar,Alipurduar,AnUfDl,Male,49,Other,Yes,No,No
69,AD,Alipurduar,Alipurduar,vpBX,Female,48,Other,Yes,Yes,Yes
70,AD,Alipurduar,Alipurduar,ZiNn,Male,35,Other,Yes,No,No
71,AD,Alipurduar,Alipurduar,cIpkr,Female,20,Other,Yes,Yes,No
72,AD,Alipurduar,Alipurduar,JMRty,Male,38,Transport,No,No,No
73,AD,Alipurduar,Alipurduar,lffxd,Male,44,Construction,No,Yes,Yes
74,AD,Alipurduar,Alipurduar,aiaD,Male,60,Other,No,No,No
75,AD,Alipurduar,Alipurduar,KsVIPy,Female,27,Construction,Yes,Yes,Yes
76,AD,Alipurduar,Alipurduar,TdkScp,Male,35,Other,No,No,No
77,AD,Alipurduar,Alipurduar,MEciLA,Female,46,Other,Yes,Yes,Yes
78,AD,Alipurduar,Alipurduar,dBuLN,Male,32,Other,Yes,No,No
79,AD,Alipurduar,Alipurduar,ONHS,Female,34,Other,Yes,No,Yes
80,AD,Alipurduar,Alipurduar,IkBmoM,Female,39,Transport,Yes,Yes,Yes
81,AD,Alipurduar,Alipurduar,tPCvWQ,Male,31,Other,Yes,No,No
82,AD,Alipurduar,Alipurduar,lEojn,Male,30,Other,Yes,Yes,Yes
83,AD,Alipurduar,Alipurduar,NPnwW,Male,49,Construction,Yes,Yes,Yes
84,AD,Alipurduar,Alipurduar,ueFxip,Female,27,Other,Yes,No,No
85,AD,Alipurduar,Alipurduar,GBfcHQ,Female,44,Construction,Yes,Yes,Yes
86,AD,Alipurduar,Alipurduar,Fwtz,Female,29,Other,Yes,Yes,Yes
87,AD,Alipurduar,Alipurduar,malZ,Female,55,Other,Yes,Yes,Yes
88,AD,Alipurduar,Alipurduar,hKnr,Female,49,Other,Yes,Yes,Yes
89,AD,Alipurduar,Alipurduar,wsPGs,Female,39,Construction,Yes,Yes,Yes
90,AD,Alipurduar,Alipurduar,aIuEJz,Male,25,Other,Yes,No,No
91,AD,Alipurduar,Alipurduar,DGDFx,Female,42,Other,No,No,No
92,AD,Alipurduar,Alipurduar,axqfIc,Female,35,Other,Yes,Yes,Yes
93,AD,Alipurduar,Alipurduar,fhRO,Female,42,Construction,Yes,Yes,Yes
94,AD,Alipurduar,Alipurduar,NKAB,Female,36,Other,Yes,No,No
95,AD,Alipurduar,Alipurduar,UDVM,Male,56,Construction,No,No,No
96,AD,Alipurduar,Alipurduar,twuJw,Male,46,Other,No,No,No
97,AD,Alipurduar,Alipurduar,MpBnAa,Female,48,Construction,Yes,No,No
98,AD,Alipurduar,Alipurduar,rHZC,Male,31,Construction,Yes,Yes,Yes
99,AD,Alipurduar,Alipurduar,wGtN,Female,53,Transport,Yes,No,No
100,AD,Alipurduar,Alipurduar,wnGgSM,Female,41,Construction,Yes,Yes,No
101,AD,Alipurduar,Alipurduar,YoaNYU,Male,39,Other,Yes,Yes,No
102,AD,Alipurduar,Alipurduar,jAvyU,Female,32,Transport,Yes,Yes,Yes
103,AD,Alipurduar,Alipurduar,amUbk,Male,40,Other,Yes,Yes,Yes
104,AD,Alipurduar,Alipurduar,iCHga,Male,34,Construction,Yes,Yes,Yes
105,AD,Alipurduar,Alipurduar,UqFrC,Female,26,Construction,Yes,Yes,No
106,AD,Alipurduar,Alipurduar,aKJO,Male,31,Other,Yes,Yes,No
107,AD,Alipurduar,Alipurduar,Hjdps,Male,60,Other,Yes,Yes,Yes
108,AD,Alipurduar,Alipurduar,qOUNE,Male,50,Other,Yes,No,No
109,AD,Alipurduar,Alipurduar,bkax,Male,21,Other,Yes,No,No
110,AD,Alipurduar,Alipurduar,CxlRS,Male,46,Other,Yes,Yes,Yes
111,AD,Alipurduar,Alipurduar,SqSAgL,Female,33,Other,Yes,Yes,Yes
112,AD,Alipurduar,Alipurduar,cgGn,Male,41,Other,Yes,Yes,Yes
113,AD,Alipurduar,Alipurduar,ClTKm,Male,36,Transport,Yes,No,No
114,AD,Alipurduar,Alipurduar,lVjVq,Female,27,Construction,Yes,No,No
115,AD,Alipurduar,Alipurduar,ZAWqQF,Female,23,Other,No,No,No
116,AD,Alipurduar,Alipurduar,SsGWEg,Female,34,Construction,Yes,Yes,Yes
117,AD,Alipurduar,Alipurduar,lgBj,Male,63,Transport,Yes,No,No
118,AD,Alipurduar,Alipurduar,ouZbxo,Female,36,Other,Yes,Yes,No
119,AD,Alipurduar,Alipurduar,GWPJ,Female,48,Other,No,No,No
120,AD,Alipurduar,Alipurduar,uUdnIf,Female,41,Other,No,No,No
121,AD,Alipurduar,Alipurduar,QDfBPX,Male,28,Construction,Yes,Yes,Yes
122,AD,Alipurduar,Alipurduar,IkdSMd,Female,56,Construction,Yes,Yes,No
123,AD,Alipurduar,Alipurduar,hYlxL,Female,29,Other,Yes,No,No
124,AD,Alipurduar,Alipurduar,gxkvBp,Male,41,Other,No,No,No
125,AD,Alipurduar,Alipurduar,NQqSMy,Female,34,Transport,Yes,Yes,Yes
126,AD,Alipurduar,Alipurduar,SLYT,Female,32,Other,Yes,Yes,Yes
127,AD,Alipurduar,Alipurduar,MkZBv,Female,31,Other,Yes,No,No
128,AD,Alipurduar,Alipurduar,SOFgT,Male,34,Other,Yes,Yes,Yes
129,AD,Alipurduar,Alipurduar,kQfOq,Female,44,Other,No,No,No
130,AD,Alipurduar,Alipurduar,eFCEO,Female,49,Construction,Yes,Yes,Yes
131,AD,Alipurduar,Alipurduar,afYob,Male,42,Transport,Yes,Yes,No
132,AD,Alipurduar,Alipurduar,dhddz,Male,39,Other,Yes,Yes,Yes
133,AD,Alipurduar,Alipurduar,SmHDQE,Male,55,Other,Yes,Yes,Yes
134,AD,Alipurduar,Alipurduar,xazI,Male,25,Other,No,No,No
135,AD,Alipurduar,Alipurduar,KiahZ,Male,51,Transport,Yes,Yes,Yes
136,AD,Alipurduar,Alipurduar,ClOz,Male,38,Other,Yes,Yes,Yes
137,AD,Alipurduar,Alipurduar,ReoAKT,Female,45,Transport,Yes,Yes,Yes
138,AD,Alipurduar,Alipurduar,rpttmo,Female,55,Transport,Yes,Yes,Yes
139,AD,Alipurduar,Alipurduar,oQyzCL,Male,23,Construction,Yes,Yes,Yes
140,AD,Alipurduar,Alipurduar,vvOe,Male,41,Construction,Yes,Yes,No
141,AD,Alipurduar,Alipurduar,atZOg,Female,43,Other,No,No,No
142,AD,Alipurduar,Alipurduar,glYAa,Female,55,Transport,Yes,Yes,Yes
143,AD,Alipurduar,Alipurduar,OmjpU,Female,34,Transport,Yes,Yes,No
144,AD,Alipurduar,Alipurduar,TUCR,Male,56,Other,No,No,No
145,AD,Alipurduar,Alipurduar,QzQQ,Male,35,Construction,Yes,Yes,Yes
146,AD,Alipurduar,Alipurduar,iSTf,Male,60,Other,Yes,Yes,Yes
147,AD,Alipurduar,Alipurduar,lPJz,Male,35,Construction,Yes,Yes,No
148,AD,Alipurduar,Alipurduar,muiUSg,Female,55,Transport,Yes,Yes,Yes
149,AD,Alipurduar,Alipurduar,KYmPJf,Male,36,Other,Yes,Yes,Yes
150,AD,Alipurduar,Alipurduar,RhiP,Female,37,Transport,Yes,Yes,Yes
151,AD,Alipurduar,Alipurduar,xwPHI,Male,39,Other,Yes,Yes,Yes
152,AD,Alipurduar,Alipurduar,etuC,Male,24,Other,No,No,No
153,AD,Alipurduar,Alipurduar,BmHTDM,Male,43,Transport,Yes,Yes,No
154,AD,Alipurduar,Alipurduar,IACsuH,Male,46,Transport,Yes,Yes,Yes
155,AD,Alipurduar,Alipurduar,mrbri,Female,40,Other,Yes,No,No
156,AD,Alipurduar,Alipurduar,sMWfLy,Male,34,Transport,Yes,Yes,No
157,AD,Alipurduar,Alipurduar,IDAYSn,Male,45,Other,No,No,No
158,AD,Alipurduar,Alipurduar,qLxl,Male,27,Construction,Yes,No,No
159,AD,Alipurduar,Alipurduar,WlypPz,Female,28,Other,Yes,Yes,Yes
160,AD,Alipurduar,Alipurduar,Xvmvxr,Female,52,Transport,Yes,Yes,Yes
161,AD,Alipurduar,Alipurduar,OmjX,Male,37,Other,Yes,Yes,Yes
162,AD,Alipurduar,Alipurduar,pkQejb,Female,21,Other,Yes,Yes,Yes
163,AD,Alipurduar,Alipurduar,kTIvV,Male,28,Other,Yes,Yes,Yes
164,AD,Alipurduar,Alipurduar,dUni,Male,38,Other,Yes,Yes,Yes
165,AD,Alipurduar,Alipurduar,FjgddW,Male,36,Construction,Yes,Yes,Yes
166,AD,Alipurduar,Alipurduar,RAQSr,Female,31,Other,Yes,Yes,No
167,AD,Alipurduar,Alipurduar,aHeRbr,Male,40,Construction,Yes,Yes,Yes
168,AD,Alipurduar,Alipurduar,zZijsk,Male,32,Construction,Yes,Yes,No
169,AD,Alipurduar,Alipurduar,LTob,Male,38,Other,Yes,Yes,Yes
170,AD,Alipurduar,Alipurduar,chZqm,Male,38,Other,Yes,Yes,No
171,AD,Alipurduar,Alipurduar,DEEcF,Female,41,Construction,Yes,Yes,Yes
172,AD,Alipurduar,Alipurduar,JdUvg,Male,61,Transport,Yes,Yes,Yes
173,AD,Alipurduar,Alipurduar,OpiFz,Female,31,Transport,Yes,Yes,Yes
174,AD,Alipurduar,Alipurduar,leWBMd,Male,35,Construction,Yes,No,No
175,AD,Alipurduar,Alipurduar,lBLHW,Female,36,Transport,Yes,Yes,No
176,AD,Alipurduar,Alipurduar,txuBV,Male,66,Transport,No,No,No
177,AD,Alipurduar,Alipurduar,DWFZS,Female,56,Other,Yes,Yes,No
178,AD,Alipurduar,Alipurduar,qFdi,Female,32,Other,Yes,No,No
179,AD,Alipurduar,Alipurduar,mtKGVI,Male,55,Construction,No,No,No
180,AD,Alipurduar,Alipurduar,mykZp,Male,21,Transport,Yes,Yes,Yes
181,AD,Alipurduar,Alipurduar,SRPp,Male,35,Construction,Yes,Yes,No
182,AD,Alipurduar,Alipurduar,dOSlq,Male,36,Transport,Yes,No,No
183,AD,Alipurduar,Alipurduar,xlHnZN,Male,58,Transport,Yes,Yes,No
184,AD,Alipurduar,Alipurduar,zhmah,Female,32,Transport,Yes,Yes,Yes
185,AD,Alipurduar,Alipurduar,NuqWkU,Male,39,Other,Yes,Yes,Yes
186,AD,Alipurduar,Alipurduar,zVyvX,Female,39,Other,Yes,Yes,Yes
187,AD,Alipurduar,Alipurduar,zgeYZG,Male,25,Other,Yes,Yes,Yes
188,AD,Alipurduar,Alipurduar,feyj,Female,47,Other,Yes,Yes,Yes
189,AD,Alipurduar,Alipurduar,RYBD,Female,47,Construction,Yes,Yes,Yes
190,AD,Alipurduar,Alipurduar,jLqQBo,Male,20,Transport,Yes,No,No
191,AD,Alipurduar,Alipurduar,LiZL,Male,34,Other,Yes,Yes,No
192,AD,Alipurduar,Alipurduar,ZvfuC,Female,25,Transport,Yes,Yes,Yes
193,AD,Alipurduar,Alipurduar,wskmz,Male,41,Other,Yes,Yes,No
194,AD,Alipurduar,Alipurduar,KdQn,Female,28,Other,Yes,Yes,Yes
195,AD,Alipurduar,Alipurduar,PBzVo,Male,34,Construction,Yes,Yes,Yes
196,AD,Alipurduar,Alipurduar,LDgq,Female,36,Other,Yes,Yes,Yes
197,AD,Alipurduar,Alipurduar,ffme,Male,30,Other,Yes,Yes,Yes
198,AD,Alipurduar,Alipurduar,XMXG,Male,27,Other,Yes,Yes,Yes
199,AD,Alipurduar,Alipurduar,rbtAU,Male,20,Construction,Yes,Yes,Yes
200,AD,Alipurduar,Alipurduar,BhVX,Female,22,Other,No,No,No
201,AD,Alipurduar,Alipurduar,VySVsV,Male,43,Other,Yes,Yes,No
202,AD,Alipurduar,Alipurduar,rNkvn,Female,36,Other,Yes,Yes,Yes
203,AD,Alipurduar,Alipurduar,VETkwT,Male,48,Construction,Yes,Yes,Yes
204,AD,Alipurduar,Alipurduar,awTU,Female,47,Other,Yes,Yes,No
205,AD,Alipurduar,Alipurduar,cicc,Male,38,Transport,Yes,Yes,Yes
206,AD,Alipurduar,Alipurduar,iUFBDd,Male,51,Other,Yes,No,No
207,AD,Alipurduar,Alipurduar,iJBzR,Male,25,Transport,Yes,Yes,Yes
208,AD,Alipurduar,Alipurduar,jxcFGm,Male,50,Construction,Yes,Yes,No
209,AD,Alipurduar,Alipurduar,dPKJ,Male,25,Transport,Yes,Yes,Yes
210,AD,Alipurduar,Alipurduar,ZpGQ,Female,32,Transport,Yes,Yes,Yes
211,AD,Alipurduar,Alipurduar,ykpG,Female,32,Construction,Yes,No,No
212,AD,Alipurduar,Alipurduar,plvL,Female,30,Other,Yes,Yes,Yes
213,AD,Alipurduar,Alipurduar,HoIo,Male,23,Other,No,No,No
214,AD,Alipurduar,Alipurduar,VsDN,Female,24,Transport,Yes,Yes,Yes
215,AD,Alipurduar,Alipurduar,yUhifW,Female,56,Other,Yes,Yes,Yes
216,AD,Alipurduar,Alipurduar,jKRaC,Male,36,Other,No,No,No
217,AD,Alipurduar,Alipurduar,YjAG,Male,38,Transport,Yes,Yes,Yes
218,AD,Alipurduar,Alipurduar,HBjnN,Female,53,Transport,Yes,Yes,Yes
219,AD,Alipurduar,Alipurduar,LbzgXU,Female,33,Other,Yes,Yes,Yes
220,AD,Alipurduar,Alipurduar,iECkaF,Male,59,Other,Yes,Yes,No
221,AD,Alipurduar,Alipurduar,KgHzt,Female,48,Other,Yes,No,No
222,AD,Alipurduar,Alipurduar,KeKS,Female,34,Other,Yes,Yes,Yes
223,AD,Alipurduar,Alipurduar,pWFcN,Female,27,Other,Yes,No,No
224,AD,Alipurduar,Alipurduar,jkRNxu,Male,49,Other,Yes,No,No
225,AD,Alipurduar,Alipurduar,RrLeX,Male,34,Transport,Yes,Yes,Yes
226,AD,Alipurduar,Alipurduar,GYFu,Male,34,Other,Yes,No,No
227,AD,Alipurduar,Alipurduar,sWyl,Male,42,Other,Yes,Yes,Yes
228,AD,Alipurduar,Alipurduar,flDM,Male,41,Other,No,No,No
229,AD,Alipurduar,Alipurduar,YYqQmU,Male,44,Other,Yes,No,No
230,AD,Alipurduar,Alipurduar,qvikG,Female,58,Other,Yes,No,No
231,AD,Alipurduar,Alipurduar,PIBp,Male,41,Other,No,No,No
232,AD,Alipurduar,Alipurduar,VDWp,Female,32,Other,Yes,Yes,Yes
233,AD,Alipurduar,Alipurduar,YIfQ,Female,44,Construction,Yes,Yes,Yes
234,AD,Alipurduar,Alipurduar,Zyvr,Female,32,Transport,Yes,Yes,Yes
235,AD,Alipurduar,Alipurduar,JipMie,Female,20,Construction,No,No,No
236,AD,Alipurduar,Alipurduar,DtPd,Female,47,Other,Yes,Yes,Yes
237,AD,Alipurduar,Alipurduar,fOtXl,Male,28,Construction,Yes,Yes,No
238,AD,Alipurduar,Alipurduar,HiHBZe,Female,23,Construction,No,No,No
239,AD,Alipurduar,Alipurduar,IWLWeN,Female,31,Other,Yes,Yes,No
240,AD,Alipurduar,Alipurduar,ZTfya,Female,45,Other,Yes,No,No
241,AD,Alipurduar,Alipurduar,TqELS,Male,31,Construction,Yes,Yes,Yes
242,AD,Alipurduar,Alipurduar,gFxEGE,Male,34,Construction,No,No,No
243,AD,Alipurduar,Alipurduar,IDZuCw,Male,36,Other,Yes,Yes,No
244,AD,Alipurduar,Alipurduar,sKobSX,Male,31,Transport,Yes,No,No
245,AD,Alipurduar,Alipurduar,cvAX,Female,49,Transport,Yes,Yes,Yes
246,AD,Alipurduar,Alipurduar,dNBe,Male,50,Transport,Yes,Yes,Yes
247,AD,Alipurduar,Alipurduar,mPRcVc,Female,52,Construction,Yes,Yes,No
248,AD,Alipurduar,Alipurduar,JDBrBr,Male,56,Other,Yes,Yes,Yes
249,AD,Alipurduar,Alipurduar,kRkQX,Male,25,Other,Yes,Yes,No
250,AD,Alipurduar,Alipurduar,SiaW,Male,49,Other,No,No,No
251,AD,Alipurduar,Alipurduar,ohzF,Male,52,Other,Yes,Yes,No
252,AD,Alipurduar,Alipurduar,RPLhE,Female,49,Other,Yes,Yes,Yes
253,AD,Alipurduar,Alipurduar,BoSXYw,Female,35,Other,Yes,No,No
254,AD,Alipurduar,Alipurduar,JPYsBf,Female,39,Other,Yes,Yes,No
255,AD,Alipurduar,Alipurduar,hwpwJ,Male,35,Construction,No,No,No
256,AD,Alipurduar,Alipurduar,IxNCqx,Male,45,Other,Yes,Yes,Yes
257,AD,Alipurduar,Alipurduar,dYPGLd,Male,43,Other,No,No,No
258,AD,Alipurduar,Alipurduar,rsTb,Female,28,Construction,Yes,Yes,Yes
259,AD,Alipurduar,Alipurduar,NIfQuu,Male,30,Other,Yes,Yes,No
260,AD,Alipurduar,Alipurduar,XRBbdD,Male,39,Transport,Yes,Yes,No
261,AD,Alipurduar,Alipurduar,PcrWq,Male,40,Other,Yes,Yes,Yes
262,AD,Alipurduar,Alipurduar,eWRdJ,Female,41,Construction,Yes,Yes,Yes
263,AD,Alipurduar,Alipurduar,MunQM,Female,35,Construction,Yes,Yes,Yes
264,AD,Alipurduar,Alipurduar,BRZDYe,Female,27,Other,Yes,Yes,Yes
265,AD,Alipurduar,Alipurduar,dlRrAd,Female,64,Other,No,No,No
266,AD,Alipurduar,Alipurduar,IgtJ,Female,32,Transport,Yes,Yes,Yes
267,AD,Alipurduar,Alipurduar,Vlnkje,Female,28,Construction,Yes,Yes,Yes
268,AD,Alipurduar,Alipurduar,vpCfO,Male,45,Construction,Yes,Yes,Yes
269,AD,Alipurduar,Alipurduar,POmwp,Male,59,Other,Yes,No,No
270,AD,Alipurduar,Alipurduar,LdACI,Male,33,Other,Yes,Yes,No
271,AD,Alipurduar,Alipurduar,dttazP,Male,39,Other,Yes,Yes,Yes
272,AD,Alipurduar,Alipurduar,PvlMYJ,Male,37,Other,No,No,No
273,AD,Alipurduar,Alipurduar,feMRG,Female,32,Other,Yes,No,No
274,AD,Alipurduar,Alipurduar,wqzBrZ,Female,34,Transport,Yes,Yes,Yes
275,AD,Alipurduar,Alipurduar,Jwcm,Female,20,Transport,No,No,No
276,AD,Alipurduar,Alipurduar,dbNXWB,Female,45,Construction,Yes,No,No
277,AD,Alipurduar,Alipurduar,loGvs,Male,29,Other,Yes,Yes,No
278,AD,Alipurduar,Alipurduar,QeFXnn,Male,49,Transport,Yes,Yes,Yes
279,AD,Alipurduar,Alipurduar,uert,Female,47,Other,Yes,Yes,Yes
280,AD,Alipurduar,Alipurduar,yZQs,Male,39,Other,Yes,Yes,Yes
281,AD,Alipurduar,Alipurduar,LmSV,Male,25,Construction,Yes,No,No
282,AD,Alipurduar,Alipurduar,aRBKnQ,Male,31,Other,No,No,No
283,AD,Alipurduar,Alipurduar,NqneWx,Female,46,Other,Yes,Yes,No
284,AD,Alipurduar,Alipurduar,uTcJXS,Female,30,Other,Yes,Yes,Yes
285,AD,Alipurduar,Alipurduar,vjbod,Male,31,Other,Yes,Yes,Yes
286,AD,Alipurduar,Alipurduar,oGkb,Male,29,Other,No,No,Yes
287,AD,Alipurduar,Alipurduar,ynedce,Female,36,Construction,Yes,No,No
288,AD,Alipurduar,Alipurduar,hUIS,Male,48,Transport,Yes,Yes,Yes
289,BN,Bankura,Bankura Sadar,BtWX,Male,28,Construction,Yes,Yes,Yes
290,BN,Bankura,Bankura Sadar,TSuGOQ,Male,60,Transport,Yes,Yes,Yes
291,BN,Bankura,Bankura Sadar,QRtk,Male,55,Other,Yes,No,No
292,BN,Bankura,Bankura Sadar,JmhK,Male,43,Other,No,No,No
293,BN,Bankura,Bankura Sadar,BoQG,Female,46,Other,No,No,No
294,BN,Bankura,Bankura Sadar,EuaOtt,Female,42,Other,No,No,No
295,BN,Bankura,Bankura Sadar,CUtS,Male,42,Transport,No,No,No
296,BN,Bankura,Bankura Sadar,YGeA,Male,20,Construction,No,No,No
297,BN,Bankura,Bankura Sadar,NYaG,Male,32,Other,Yes,Yes,Yes
298,BN,Bankura,Bankura Sadar,fZxDA,Male,43,Construction,Yes,Yes,No
299,BN,Bankura,Bankura Sadar,cvVj,Female,27,Construction,Yes,Yes,No
300,BN,Bankura,Bankura Sadar,ajDQ,Male,29,Construction,Yes,No,No
301,BN,Bankura,Bankura Sadar,XlPK,Female,35,Other,Yes,Yes,Yes
302,BN,Bankura,Bankura Sadar,vrKHa,Male,32,Other,No,No,No
303,BN,Bankura,Bankura Sadar,skDpM,Male,33,Other,Yes,No,No
304,BN,Bankura,Bankura Sadar,rcza,Male,34,Transport,Yes,Yes,Yes
305,BN,Bankura,Bankura Sadar,yracoW,Female,49,Other,Yes,Yes,Yes
306,BN,Bankura,Bankura Sadar,pHlXv,Male,35,Transport,Yes,Yes,No
307,BN,Bankura,Bankura Sadar,cXRPBk,Male,48,Construction,No,No,No
308,BN,Bankura,Bankura Sadar,Lxim,Female,32,Other,Yes,No,No
309,BN,Bankura,Bankura Sadar,pbowH,Male,24,Other,No,No,No
310,BN,Bankura,Bankura Sadar,mqtexD,Female,27,Construction,Yes,Yes,No
311,BN,Bankura,Bankura Sadar,fmlKs,Male,54,Other,No,No,No
312,BN,Bankura,Bankura Sadar,WbvK,Male,47,Other,Yes,Yes,Yes
313,BN,Bankura,Bankura Sadar,IxEMDy,Male,54,Construction,Yes,Yes,Yes
314,BN,Bankura,Bankura Sadar,AAzN,Female,29,Construction,Yes,Yes,Yes
315,BN,Bankura,Bankura Sadar,TttE,Female,37,Transport,Yes,No,No
316,BN,Bankura,Bankura Sadar,pvij,Male,54,Other,No,No,No
317,BN,Bankura,Bankura Sadar,dhwmj,Male,36,Construction,Yes,Yes,No
318,BN,Bankura,Bankura Sadar,nziz,Male,21,Other,No,No,No
319,BN,Bankura,Bankura Sadar,CdIzra,Female,32,Transport,Yes,Yes,No
320,BN,Bankura,Bankura Sadar,bSkkwB,Female,30,Construction,Yes,Yes,No
321,BN,Bankura,Bankura Sadar,NyCl,Female,35,Transport,Yes,No,No
